Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
82	Iron bcc (old)	2.72	1.861	3	547.91	110.84	1.9764	1.1279	65.773	0.52	1.65	334.14	53.25	44.54	True	no
83	Iron bcc (old)	10.32	3.6249	5	608.92	116.99	3.8922	1.1529	43.769	0.72	1.63	341.87	46.97	43.94	True	no
84	Iron bcc (old)	11.24	3.783	6	464.55	119.39	4.2369	1.2544	84.893	0.53	1.36	217.71	44.92	53.67	True	no
85	Iron bcc (old)	31.16	6.2987	8	88.16	126.10	7.6144	1.4614	12.589	0.89	2.23	307.60	34.59	74.51	True	no
86	Iron bcc (old)	13.28	4.112	5	619.90	130.11	5.9984	2.1279	86.169	1.04	2.69	187.03	35.94	47.50	True	edge
87	Iron bcc (old)	7.64	3.1189	3	231.88	126.20	4.4259	2.0138	135.53	0.43	1.26	110.53	44.72	55.12	True	no
88	Iron bcc (old)	51.08	8.0646	6	172.92	132.31	11.184	1.9233	12.295	0.58	1.67	60.95	46.69	40.95	True	no
89	Iron bcc (old)	10.56	3.6668	7	600.32	131.31	4.2297	1.3306	58.184	3.19	5.11	234.24	50.09	44.12	True	no
90	Iron bcc (old)	1.88	1.5472	3	109.32	128.38	1.7865	1.3333	102.12	0.28	1.06	43.10	41.09	41.82	True	no
91	Iron bcc (old)	9.8	3.5324	4	299.44	132.67	4.1186	1.3595	144.1	0.77	4.10	98.67	39.16	74.35	True	no
92	Iron bcc (old)	3.28	2.0436	4	476.52	129.68	3.0581	2.2394	151.76	3.04	4.35	227.65	48.81	35.03	True	no
93	Iron bcc (old)	17.2	4.6797	4	204.86	137.15	5.3624	1.313	26.991	0.99	2.93	221.61	46.81	37.93	True	no
94	Iron bcc (old)	42.48	7.3544	9	218.08	151.49	10	1.849	46.797	2.08	6.26	120.16	40.26	52.84	True	no
95	Iron bcc (old)	6.48	2.8724	3	265.06	133.93	3.5859	1.5585	92.062	1.27	3.75	91.30	37.83	84.79	True	no
96	Iron bcc (old)	4.28	2.3344	6	114.57	134.09	2.9122	1.5562	177.06	3.48	7.40	300.82	23.21	67.69	True	no
97	Iron bcc (old)	1.64	1.445	3	565.88	130.73	2.4519	2.8791	163.89	0.50	1.24	209.76	34.70	39.45	True	no
98	Iron bcc (old)	16.24	4.5472	6	457.17	140.72	7.3627	2.6216	34.698	4.43	6.92	88.65	44.54	77.16	True	no
99	Iron bcc (old)	265.12	18.373	14	585.70	185.42	20.725	1.2724	107.22	1.86	9.23	110.63	52.08	49.40	True	edge
100	Iron bcc (old)	102.32	11.414	7	33.93	154.20	15.14	1.7595	16.824	1.04	2.55	229.87	51.45	41.53	True	edge
101	Iron bcc (old)	81.68	10.198	8	346.59	152.93	14.542	2.0333	153.14	1.84	8.56	122.64	49.21	47.75	True	no
102	Iron bcc (old)	9.08	3.4001	4	290.75	142.70	4.2574	1.5678	137.78	2.36	4.11	129.22	36.36	50.02	True	no
103	Iron bcc (old)	66.8	9.2224	9	401.96	160.23	12.12	1.727	43.791	0.80	2.27	132.14	45.25	30.18	True	no
104	Iron bcc (old)	4.68	2.4411	4	610.09	140.03	3.9061	2.5606	159.28	0.38	1.45	106.24	47.53	47.79	True	no
105	Iron bcc (old)	45	7.5694	8	90.15	151.37	9.0508	1.4297	176.65	1.47	5.09	332.41	22.58	24.08	True	no
106	Iron bcc (old)	10.08	3.5825	6	465.40	149.56	5.7655	2.59	66.847	2.05	6.65	114.64	41.03	57.30	True	no
107	Iron bcc (old)	11.16	3.7695	4	116.16	145.88	4.5063	1.4291	15.077	0.58	1.57	323.96	16.05	29.53	True	no
108	Iron bcc (old)	5.6	2.6702	2	430.41	144.86	3.4111	1.6319	130.7	0.46	1.44	116.38	44.71	38.92	True	no
109	Iron bcc (old)	194.68	15.744	16	275.85	171.84	22.562	2.0537	14.878	5.69	13.24	124.14	42.67	47.23	True	no
110	Iron bcc (old)	8.76	3.3397	4	605.36	147.82	4.2769	1.64	168.41	1.04	3.96	238.82	36.05	20.36	True	no
111	Iron bcc (old)	2.12	1.6429	2	229.70	146.11	2.0564	1.5666	115.93	3.07	5.23	125.56	35.02	54.52	True	no
112	Iron bcc (old)	6.84	2.9511	3	589.64	149.33	3.315	1.2618	111.01	0.86	1.84	229.74	49.73	34.45	True	no
113	Iron bcc (old)	2.48	1.777	3	177.68	146.97	2.7769	2.4421	162.25	2.05	8.02	104.56	35.32	75.39	True	no
