Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
159	Iron bcc (old)	3.2	2.0185	3	391.38	204.64	2.6313	1.6993	95.342	0.28	1.04	136.24	44.39	45.86	True	no
160	Iron bcc (old)	106.72	11.657	11	50.63	235.04	11.881	1.0389	160.64	1.88	4.86	11.22	39.95	60.75	True	no
161	Iron bcc (old)	5.16	2.5632	5	121.12	212.25	3.0575	1.4229	5.2341	0.29	1.38	100.99	51.82	46.91	True	no
162	Iron bcc (old)	13.96	4.216	5	311.77	222.82	6.5854	2.4399	33.845	1.96	6.23	233.52	29.45	17.48	True	no
163	Iron bcc (old)	15.44	4.4338	5	263.33	223.53	5.9541	1.8033	141.45	2.54	5.48	110.65	43.80	56.41	True	no
164	Iron bcc (old)	2.32	1.7187	3	393.88	214.79	1.9686	1.3119	86.73	1.88	4.97	237.92	40.49	26.83	True	no
165	Iron bcc (old)	2.12	1.6429	4	162.60	217.17	2.1083	1.6467	103.46	0.53	1.43	305.90	40.79	52.15	True	no
166	Iron bcc (old)	61.2	8.8274	8	165.52	244.41	10.878	1.5187	138.04	1.62	6.20	135.56	43.52	44.88	True	no
167	Iron bcc (old)	2.72	1.861	2	426.81	219.10	2.0684	1.2354	72.058	0.61	2.05	228.87	40.03	17.52	True	no
168	Iron bcc (old)	18.92	4.9081	5	130.68	225.09	5.7592	1.3769	5.7273	1.52	3.84	75.97	36.89	13.85	True	no
169	Iron bcc (old)	14.44	4.2878	3	620.03	235.74	7.8075	3.3155	84.895	1.86	3.48	118.74	48.28	52.14	True	edge
170	Iron bcc (old)	20.28	5.0815	6	242.78	229.66	5.5576	1.1962	22.751	0.70	2.38	70.83	43.69	33.52	True	no
171	Iron bcc (old)	4.68	2.4411	5	111.79	222.75	3.1288	1.6429	44.473	0.46	1.51	103.74	39.64	67.20	True	no
172	Iron bcc (old)	13.36	4.1244	3	546.31	228.19	5.0922	1.5244	95.114	0.41	0.83	107.45	42.81	57.57	True	no
173	Iron bcc (old)	40.8	7.2075	6	334.22	235.93	8.7518	1.4744	161.12	0.96	2.08	134.70	49.59	40.30	True	no
174	Iron bcc (old)	8.48	3.2859	3	164.81	229.45	3.7305	1.2889	157.01	0.45	1.22	107.14	39.72	60.33	True	no
